	#ALIMENTADOR	ALIM_NRO	ME_PSEUDO	ME_TIPO	ME_NOMBRE	ME_ORDEN	UT_TPLNR	UT_TXT	UT_OBJECTNAMEID	UT_TIPO	SPRID	CAPTION	SECUENCIA
25122	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	76714185	TRAMO 3x1x300/50 Al. XLPE	76714185	CSMT	1091	CAS 13,2 kV	1
25123	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	76714183	EMPALME MT	76714183	EMPALME MT	418	Empalme	2
25124	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	76714184	TRAMO 3x1x300/50 Al. XLPE	76714184	CSMT	1091	CAS 13,2 kV	3
25125	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	76714181	EMPALME MT	76714181	EMPALME MT	418	Empalme	4
25126	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	76714182	TRAMO 3x1x300/50 Al. XLPE	76714182	CSMT	1091	CAS 13,2 kV	5
25127	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	92287309	EMPALME MT	92287309	EMPALME MT	418	Empalme	6
25128	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	58403520	TRAMO 3x1x300/50 Al. XLPE	58403520	CSMT	1091	CAS 13,2 kV	7
25129	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	58403518	EMPALME MT	58403518	EMPALME MT	418	Empalme	8
25130	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	59842597	TRAMO 3x1x300/50 Al. XLPE	59842597	CSMT	1091	CAS 13,2 kV	9
25131	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	87739994	EMPALME MT	87739994	EMPALME MT	418	Empalme	10
25132	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	59842596	TRAMO 3x1x300/50 Al. XLPE	59842596	CSMT	1091	CAS 13,2 kV	11
25133	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	6325809	EMPALME MT	6325809	EMPALME MT	418	Empalme	12
25134	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	74720965	TRAMO 3x1x300/50 Al. XLPE	74720965	CSMT	1091	CAS 13,2 kV	13
25135	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	74720963	EMPALME MT	74720963	EMPALME MT	418	Empalme	14
25136	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	74720964	TRAMO 3x1x300/50 Al. XLPE	74720964	CSMT	1091	CAS 13,2 kV	15
25137	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	74720961	EMPALME MT	74720961	EMPALME MT	418	Empalme	16
25138	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	74720962	TRAMO 3x1x300/50 Al. XLPE	74720962	CSMT	1091	CAS 13,2 kV	17
25139	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	73372184	EMPALME MT	73372184	EMPALME MT	418	Empalme	18
25140	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	73372185	TRAMO 3x1x300/50 Al. XLPE	73372185	CSMT	1091	CAS 13,2 kV	19
25141	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	59842601	EMPALME MT	59842601	EMPALME MT	418	Empalme	20
25142	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	79771034	TRAMO 3x1x300/50 Al. XLPE	79771034	CSMT	1091	CAS 13,2 kV	21
25143	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	79771032	EMPALME MT	79771032	EMPALME MT	418	Empalme	22
25144	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	79771033	TRAMO 3x1x300/50 Al. XLPE	79771033	CSMT	1091	CAS 13,2 kV	23
25145	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	59842598	EMPALME MT	59842598	EMPALME MT	418	Empalme	24
25146	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	59842599	TRAMO 3x1x300/50 Al. XLPE	59842599	CSMT	1091	CAS 13,2 kV	25
25147	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	58399987	EMPALME MT	58399987	EMPALME MT	418	Empalme	26
25148	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	96258958	TRAMO 3x1x300/50 Al. XLPE	96258958	CSMT	1091	CAS 13,2 kV	27
25149	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	96258957	EMPALME MT	96258957	EMPALME MT	418	Empalme	28
25150	18552866	15326A	MM18552866	TRONCAL	MEC-15326|4002-7|	1	96258959	TRAMO 3x1x185/50 Al. XLPE	96258959	CSMT	1091	CAS 13,2 kV	29
25151	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	6328784	TRAMO 3x240 Al. XLPE	6328784	CSMT	1091	CAS 13,2 kV	2
25152	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	89607333	EMPALME MT	89607333	EMPALME MT	418	Empalme	3
25153	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	89607331	TRAMO 3x1x185/50 Al. XLPE	89607331	CSMT	1091	CAS 13,2 kV	4
25154	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	89607330	EMPALME MT	89607330	EMPALME MT	418	Empalme	5
25155	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	89607332	TRAMO 3x70 Cu. API	89607332	CSMT	1091	CAS 13,2 kV	6
25156	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	101133740	EMPALME MT	101133740	EMPALME MT	418	Empalme	7
25157	18552866	15326A	MM68587474	TRONCAL	MEC-4002-5|S122OL|	2	6328794	TRAMO 3x1x300/50 Al. XLPE	6328794	CSMT	1091	CAS 13,2 kV	8
25158	18552866	15326A	MM6328798	TRONCAL	MEL-R04-900|S110OL|S122OL|	3	101133499	VANO 3x95/15 Al/Ac. H	101133499	LAMT	1089	LAMT 13,2 kV	1
25159	18552866	15326A	MM6328798	TRONCAL	MEL-R04-900|S110OL|S122OL|	3	101133387	VANO 3x95/15 Al/Ac. H	101133387	LAMT	1089	LAMT 13,2 kV	2
25160	18552866	15326A	MM6328798	TRONCAL	MEL-R04-900|S110OL|S122OL|	3	101133382	VANO 3x95/15 Al/Ac. H	101133382	LAMT	1089	LAMT 13,2 kV	4
25161	18552866	15326A	MM63358884	TRONCAL	MEL-R04-900|S04-901|	4	63358887	VANO 3x50 Al. V	63358887	LAMT	1089	LAMT 13,2 kV	1
25162	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	63358888	VANO 3x50/8 Al/Ac. P. LP	63358888	LAMT	1089	LAMT 13,2 kV	1
25163	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	OC045	PIQUETE OC045	6328810	PIQUETE_MT	408	Poste de Madera de M.T.	2
25164	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328818	VANO 3x50/8 Al/Ac. P. LP	6328818	LAMT	1089	LAMT 13,2 kV	3
25165	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	OR403	PIQUETE OR403	6328822	PIQUETE_MT	441	Pos. con Rndas para cruce Inv.	4
25166	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328825	VANO 3x50/8 Al/Ac. P. LP	6328825	LAMT	1089	LAMT 13,2 kV	5
25167	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	OR404	PIQUETE OR404	6328829	PIQUETE_MT	440	Pos. con Rndas para Cruce Rio 	6
25168	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328831	VANO 3x50/8 Al/Ac. P. LP	6328831	LAMT	1089	LAMT 13,2 kV	7
25169	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	OR405	PIQUETE OR405	6328835	PIQUETE_MT	408	Poste de Madera de M.T.	8
25170	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328837	VANO 3x50/8 Al/Ac. LP	6328837	LAMT	1089	LAMT 13,2 kV	9
25171	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	OC046	PIQUETE OC046	6328841	PIQUETE_MT	408	Poste de Madera de M.T.	10
25172	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	91562990	VANO 3x50 Al. V	91562990	LAMT	1089	LAMT 13,2 kV	11
25173	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	AE844-003	PIQUETE AE844	91562989	PIQUETE_MT	408	Poste de Madera de M.T.	12
25174	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328849	VANO 3x50 Al. V	6328849	LAMT	1089	LAMT 13,2 kV	13
25175	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	91562992	VANO 3x50 Al. V	91562992	LAMT	1089	LAMT 13,2 kV	14
25176	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	AE845-003	PIQUETE AE845	91562991	PIQUETE_MT	408	Poste de Madera de M.T.	15
25177	18552866	15326A	MM63358886	TRONCAL	MEL-40029-9|S04-901|S279OL|	5	6328855	VANO 3x50 Al. V	6328855	LAMT	1089	LAMT 13,2 kV	17
25178	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	94084113	VANO 3x50 Al. V	94084113	LAMT	1089	LAMT 13,2 kV	1
25179	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	AF217-003	PIQUETE AF217	94084112	PIQUETE_MT	408	Poste de Madera de M.T.	2
25180	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	94084114	VANO 3x50 Al. V	94084114	LAMT	1089	LAMT 13,2 kV	3
25181	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	AF216-003	PIQUETE AF216	94084110	PIQUETE_MT	408	Poste de Madera de M.T.	4
25182	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	94084111	VANO 3x50 Al. V	94084111	LAMT	1089	LAMT 13,2 kV	5
25183	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	AF215-003	PIQUETE AF215	94084108	PIQUETE_MT	408	Poste de Madera de M.T.	6
25184	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	94084109	VANO 3x50 Al. V	94084109	LAMT	1089	LAMT 13,2 kV	7
25185	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	OQ441	PIQUETE OQ441	6328847	PIQUETE_MT	408	Poste de Madera de M.T.	8
25186	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	58077620	VANO 3x50 Al. V	58077620	LAMT	1089	LAMT 13,2 kV	9
25187	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	AB973-003	PIQUETE AB973	58077619	PIQUETE_MT	408	Poste de Madera de M.T.	10
25188	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	58077631	TRAMO 3x1x185/50 Al. XLPE	58077631	CSMT	1091	CAS 13,2 kV	11
25189	18552866	15326A	MM6328859	TRONCAL	MEL-S04-835|S04-836|S279OL|	6	63736658	TRAMO 3x1x185/50 Al. XLPE	63736658	CSMT	1091	CAS 13,2 kV	12
25190	18552866	15326A	MM59479973	TRONCAL	MEC-S04-836|S04-838|	7	58077632	TRAMO 3x1x185/50 Al. XLPE	58077632	CSMT	1091	CAS 13,2 kV	1
