#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
AK983	PIQUETE AK983	PIQUETE_MT	5579339	MT	22/03/2016		31/10/2022	MM102269053	13212A	1.0	2ME	5579339.0	5579339.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491251.0	458L	Q	5596314.693	6146008.986	4424.0	CNO A MORENO*	15701	15799			-34.8275 , -58.9472	AK983
AF329-004	PIQUETE AF329	PIQUETE_MT	94103736	MT	14/04/2024		01/01/1998	MM96025328	15326A	6.0	3TI	94103736.0	94103736.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489455.0	152	Q	5630845.78	6199138.375	4439.0	ARROYO TORO			ARROYO TORO		-34.3448 , -58.578	AF329
AF238-004	PIQUETE AF238	PIQUETE_MT	94087427	MT	14/04/2024		01/01/1995	MM6326281	15326A	6.0	3TI	94087427.0	94087427.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489463.0	182	Q	5630618.331	6194585.13	4439.0	ARROYO CURUBICA			RIO SARMIENTO		-34.3859 , -58.5797	AF238
AG294-004	PIQUETE AG294	PIQUETE_MT	94178230	MT	22/03/2016		01/01/1998	MM95858046	15326A	6.0	3TI	94178230.0	94178230.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5627541.249	6206856.433	4439.0	RIO PARANA DE LAS PALMAS			RIO PARANA DE LAS PALMAS		-34.2757 , -58.615	AG294
AL287	PIQUETE AL287	PIQUETE_MT	5582662	MT	22/03/2016		01/01/1985	MM5582643	13212A	1.0	2ME	5582662.0	5582662.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489619.0	441	Q	5597669.836	6148663.899	4424.0						-34.8034 , -58.9327	AL287
4258-9	SECCIONADOR 	CELDA_MT	17627643	MT	22/03/2016			CP17627643	15326A	6.0	3TI	17627643.0	17627643.0	SECC_MTCT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1159.0	FAEK	CTAMM	CEPLATMM				57493284.0	181E	P	5630239.663	6195356.054	4439.0	ARROYO REYES			RIO SARMIENTO	ARROYO ANGOSTURA	-34.379 , -58.584	4258-9
4458-9	SECCIONADOR 	CELDA_MT	17631921	MT	22/03/2016			CP17631921	15326A	6.0	3TI	17631921.0	17631921.0	SECC_MTCT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1159.0	FAEK	CTAB	CEPLATMB				57489472.0	165	P	5627959.112	6197879.8	4439.0	ARROYO ESPERA			ARROYO TORITO	ARROYO ESPERITA	-34.3565 , -58.6091	4458-9
OL878	PIQUETE OL878	PIQUETE_MT	6330296	MT	22/03/2016		01/01/2000	MM6330636	15326A	6.0	3TI	6330296.0	6330296.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493280.0	181A	Q	5626906.814	6195121.214	4439.0	RIO CARAPACHAY	0       				-34.3815 , -58.6202	OL878
OL244	PIQUETE OL244	PIQUETE_MT	6332370	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332370.0	6332370.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626661.585	6199625.898	4439.0	ARROYO ESPERA					-34.341 , -58.6235	OL244
OM035	PIQUETE OM035	PIQUETE_MT	6328278	MT	22/03/2016		01/01/1997	MM91457338	15326A	6.0	3TI	6328278.0	6328278.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5628653.249	6204771.704	4439.0	ARROYO ANDRESITO					-34.2943 , -58.6026	OM035
OH931	PIQUETE OH931	PIQUETE_MT	6087005	MT	22/03/2016		01/01/1964	MM6086992	5822A	6.0	3TI	6087005.0	6087005.0	PIQUETE_MT	334.0	440.0	TIGRE	EL TALAR	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57490272.0	227M	Q	5624879.775	6185407.313	4439.0	CANADA(ETA)	700	798			-34.4693 , -58.6408	OH931
OL243	PIQUETE OL243	PIQUETE_MT	6332373	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332373.0	6332373.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626665.057	6199665.808	4439.0	ARROYO ESPERA					-34.3406 , -58.6235	OL243
AL530-002	PIQUETE AL530	PIQUETE_MT	80410054	MT	08/12/2020		15/03/2021	MM79967754	13212A	1.0	2ME	80410054.0	80410054.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491253.0	458N	Q	5598147.297	6146508.819	4424.0	MAIZANI AZUCENA	0	0	RUTA NRO 6		-34.8228 , -58.9272	AL530
AI346	PIQUETE AI346	PIQUETE_MT	18769861	MT	24/12/2017		10/07/2007	MM80276380	13212A	1.0	2ME	18769861.0	18769861.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491247.0	458H	Q	5597361.557	6147051.633	4424.0	CNO A MORENO*	10	10	EL PUENTE	RUTA NRO 6	-34.818 , -58.9358	AI346
